Zaaknummer;Straat;Huisnummer;Huisletter;Toevoeging;Postcode;Plaats;Adres;Kamer;Wetsartikel;"Inhoud uitspraak";"Leges uitspraak";"Datum afdoening";"Type woonruimte";"Huurprijs voor uitspraak";"Huurprijs na uitspraak";"Voorschot sk voor uitspraak";"Voorschot sk na uitspraak";"Bet.verpl. sk voor uitspraak";"Bet.verpl. sk na uitspraak";"Bet.verpl. sk voor uitspraak Bk2";"Bet.verpl. sk na uitspraak Bk2";"Bet.verpl. sk voor uitspraak Bk3";"Bet.verpl. sk na uitspraak Bk3";"Tijdelijk verlaagde huurprijs";;"Punten woonruimte";Verzoeker
62861;Grevenstraat;7;;A;2312VG;LEIDEN;"Grevenstraat 7 A, 2312VG LEIDEN";;"Huurverhoging na woningverbetering (art. 7:255 BW) (huurder)";"Niet ontvankelijk";"De wederpartij wordt in het gelijk gesteld";30-12-21;Zelfstandig;496,30;496,30;;;;;;;;;;;;Huurder
167212;"Kerklaan ";16;;18;1961GB;HEEMSKERK;"Kerklaan 16 18, 1961GB HEEMSKERK";"KM 17";"Afrekening servicekosten (art. 7:260 BW) (huurder)";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";30-12-21;Onzelfstandig;;;;;781,12;635,32;1.261,20;950,70;1.255,68;961,76;;;;Huurder
212450;"Petrus Driessenstraat";42;;A;9714CC;GRONINGEN;"Petrus Driessenstraat 42 A, 9714CC GRONINGEN";"KM 4";"Afrekening servicekosten (art. 7:260 BW) (huurder)";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";30-12-21;Onzelfstandig;;;;;700,00;572,10;;;;;;;;Huurder
381076;"John Franklinstraat";52;;3HG;1056TD;AMSTERDAM;"John Franklinstraat 52 3HG, 1056TD AMSTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";27-12-21;Zelfstandig;633,25;633,25;;;;;;;;;;;;Huurder
327000;'s-Gravenzandelaan;59;;A;2512JJ;"DEN HAAG";"'s-Gravenzandelaan 59 A, 2512JJ DEN HAAG";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";27-12-21;;502,92;502,92;;;;;;;;;;;;Huurder
319334;Rijsoordstraat;62;;C;3081BX;ROTTERDAM;"Rijsoordstraat 62 C, 3081BX ROTTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";30-12-21;;510,00;204,00;;;;;;;;;204,00;;;Huurder
72597;Assendelftstraat;47;;C;2512VS;"DEN HAAG";"Assendelftstraat 47 C, 2512VS DEN HAAG";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";30-12-21;Zelfstandig;510,00;;;;;;;;;;;;;Huurder
168217;Europaweg;88;;B;7766AM;NIEUW-SCHOONEBEEK;"Europaweg 88 B, 7766AM NIEUW-SCHOONEBEEK";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";29-12-21;Zelfstandig;472,31;472,31;;;;;;;;;472,31;;;Huurder
342860;Julianaplein;11;;C;1404DL;BUSSUM;"Julianaplein 11 C, 1404DL BUSSUM";;"Afrekening servicekosten (art. 7:260 BW) (huurder)";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";30-12-21;Zelfstandig;;;;;4.809,80;4.809,80;;;;;;;;Huurder
77744;Oosterweertlaan;123;;C;6229XP;MAASTRICHT;"Oosterweertlaan 123 C, 6229XP MAASTRICHT";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";27-12-21;Zelfstandig;503,86;503,86;;;;;;;;;;;;Huurder
77546;Rotterdamsedijk;399;;B1;3112AP;SCHIEDAM;"Rotterdamsedijk 399 B1, 3112AP SCHIEDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";30-12-21;Zelfstandig;435,22;261,13;;;;;;;;;261,13;;;Huurder
79691;"Kasteel Beusdaelplein";20;;;6222WD;MAASTRICHT;"Kasteel Beusdaelplein 20, 6222WD MAASTRICHT";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";30-12-21;Zelfstandig;739,69;;;;;;;;;;665,72;;;Huurder
80026;"Sint Bonifaciusstraat";49;;;3553SP;UTRECHT;"Sint Bonifaciusstraat 49, 3553SP UTRECHT";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";30-12-21;Zelfstandig;672,41;268,96;;;;;;;;;268,96;;;Huurder
108017;"Samenwerking ";38;;;1068RP;AMSTERDAM;"Samenwerking 38, 1068RP AMSTERDAM";;"Klacht over een gedraging van de verhuurder (art. 4.5 UHW)";"Niet gegrond";"De wederpartij wordt in het gelijk gesteld";08-01-21;Zelfstandig;;;;;;;;;;;;;;Huurder
94577;"Oude Postweg";184;;I;7557DJ;HENGELO;"Oude Postweg 184 I, 7557DJ HENGELO";;"Klacht over een gedraging van de verhuurder (art. 4.5 UHW)";Gegrond;"De verzoeker wordt in het gelijk gesteld";06-01-21;Zelfstandig;;;;;;;;;;;;;;Huurder
74434;Heutinkstraat;65;;;7535AX;ENSCHEDE;"Heutinkstraat 65, 7535AX ENSCHEDE";;"Klacht over een gedraging van de verhuurder (art. 4.5 UHW)";"Niet gegrond";"De wederpartij wordt in het gelijk gesteld";06-01-21;Zelfstandig;;;;;;;;;;;;;;Huurder
111757;"Ringvaart-Nieuwemeerdijk ";160;;;1171PC;BADHOEVEDORP;"Ringvaart-Nieuwemeerdijk 160, 1171PC BADHOEVEDORP";D;"Klacht over een gedraging van de verhuurder (art. 4.5 UHW)";"Niet gegrond";"De wederpartij wordt in het gelijk gesteld";08-01-21;Onzelfstandig;;;;;;;;;;;;;;Huurder
90627;Altenaweg;14;;;9321XE;PEIZE;"Altenaweg 14, 9321XE PEIZE";;"Klacht over een gedraging van de verhuurder (art. 4.5 UHW)";Gegrond;"De verzoeker wordt in het gelijk gesteld";12-01-21;Zelfstandig;;;;;;;;;;;;;;Huurder
197308;"van Schaeck Mathonsingel";1;;43;6512AJ;NIJMEGEN;"van Schaeck Mathonsingel 1 43, 6512AJ NIJMEGEN";;"Wet op het overleg huurders verhuurder (Wohv)";"Geen schending WOHV";"Niet van toepassing";08-01-21;;;;;;;;;;;;;;;Huurder
83161;"Le Sage ten Broekstraat";33;;;5041CL;TILBURG;"Le Sage ten Broekstraat 33, 5041CL TILBURG";;"Klacht over een gedraging van de verhuurder (art. 4.5 UHW)";"Niet gegrond";"De wederpartij wordt in het gelijk gesteld";29-01-21;Zelfstandig;;;;;;;;;;;;;;Huurder
205120;Ganzerikhof;22;;;5044BT;TILBURG;"Ganzerikhof 22, 5044BT TILBURG";;"Klacht over een gedraging van de verhuurder (art. 4.5 UHW)";"Niet gegrond";"De wederpartij wordt in het gelijk gesteld";29-01-21;Zelfstandig;;;;;;;;;;;;;;Huurder
59716;Boergoensevliet;19;;A;3082KG;ROTTERDAM;"Boergoensevliet 19 A, 3082KG ROTTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";12-02-21;Zelfstandig;;;;;;;;;;;;;;Huurder
58239;Vermeerstraat;193;;;2525VK;"DEN HAAG";"Vermeerstraat 193, 2525VK DEN HAAG";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";12-02-21;Zelfstandig;;;;;;;;;;;;;;Huurder
53520;Haardstee;9;;;1102NA;AMSTERDAM;"Haardstee 9, 1102NA AMSTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";12-02-21;Zelfstandig;771,31;;;;;;;;;;771,31;;;Huurder
90904;"Bijvang ";25;;;4817DD;BREDA;"Bijvang 25, 4817DD BREDA";;"Klacht over een gedraging van de verhuurder (art. 4.5 UHW)";"Niet gegrond";"De wederpartij wordt in het gelijk gesteld";27-01-21;Zelfstandig;;;;;;;;;;;;;;Huurder
70580;"Ernst Casimirstraat";35;;;3314LH;DORDRECHT;"Ernst Casimirstraat 35, 3314LH DORDRECHT";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";01-03-21;Zelfstandig;;;;;;;;;;;;;;Huurder
68358;"Nienke van Hichtumstraat";10;;;2331EZ;LEIDEN;"Nienke van Hichtumstraat 10, 2331EZ LEIDEN";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";01-03-21;Zelfstandig;635,04;635,04;;;;;;;;;;;;Huurder
166717;"Davisstraat ";4;;A;1057TK;AMSTERDAM;"Davisstraat 4 A, 1057TK AMSTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";25-02-21;Zelfstandig;849,43;339,77;;;;;;;;;339,77;;;Huurder
209949;"Hemonystraat ";50;;Huis;1074BS;AMSTERDAM;"Hemonystraat 50 Huis, 1074BS AMSTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";25-02-21;Zelfstandig;;;;;;;;;;;;;;Huurder
38400;Schieringerweg;61;;B;8924CT;LEEUWARDEN;"Schieringerweg 61 B, 8924CT LEEUWARDEN";;"Afrekening servicekosten (art. 7:260 BW) (huurder)";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";24-02-21;Zelfstandig;;;;;1.200,00;240,71;1.200,00;240,71;;;;;;Huurder
171205;Geuzenkade;18;;-3;1056KJ;AMSTERDAM;"Geuzenkade 18 -3, 1056KJ AMSTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";25-02-21;Zelfstandig;614,38;;;;;;;;;;245,75;;;Huurder
39614;"Spijkerstraat ";184;;;6828DT;ARNHEM;"Spijkerstraat 184, 6828DT ARNHEM";1;"Afrekening servicekosten (art. 7:260 BW) (huurder)";"Servicekosten lager dan afrekening";"De wederpartij wordt in het gelijk gesteld";09-03-21;Onzelfstandig;;;;;1.188,00;431,70;1.089,00;1.736,24;;;;;;Huurder
199530;"van Hanxleden Houwertstraat";47;;3;1063HR;AMSTERDAM;"van Hanxleden Houwertstraat 47 3, 1063HR AMSTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";25-02-21;Zelfstandig;586,69;;;;;;;;;;234,68;;;Huurder
103291;"Zilverschoonstraat ";16;;1;1031BD;AMSTERDAM;"Zilverschoonstraat 16 1, 1031BD AMSTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";25-02-21;Zelfstandig;709,62;;;;;;;;;;283,85;;;Huurder
44094;"Van 't Hoffstraat";6;;;3514VT;UTRECHT;"Van 't Hoffstraat 6, 3514VT UTRECHT";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";01-03-21;Zelfstandig;328,26;131,30;;;;;;;;;;;;Huurder
201127;"Diezestraat ";22;;II;1078JR;AMSTERDAM;"Diezestraat 22 II, 1078JR AMSTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";25-02-21;Zelfstandig;896,89;358,76;;;;;;;;;358,76;;;Huurder
107942;Waddendijk;76;;;1025PK;AMSTERDAM;"Waddendijk 76, 1025PK AMSTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";25-02-21;Zelfstandig;638,66;;;;;;;;;;255,46;;;Huurder
56047;"2e Pioenstraat";45;;;3073EM;ROTTERDAM;"2e Pioenstraat 45, 3073EM ROTTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";01-03-21;Zelfstandig;487,65;292,59;;;;;;;;;292,59;;;Huurder
108670;Urkstraat;5;;;1025RE;AMSTERDAM;"Urkstraat 5, 1025RE AMSTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";25-02-21;Zelfstandig;528,69;;;;;;;;;;211,48;;;Huurder
70678;Asselsestraat;166;;C;7311EW;APELDOORN;"Asselsestraat 166 C, 7311EW APELDOORN";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Gebreken geheel verholpen";"De wederpartij wordt in het gelijk gesteld";01-03-21;Zelfstandig;699,98;;;;;;;;;;;;;Huurder
201614;"Maasstraat ";58;;"1 hoog ";1078HL;AMSTERDAM;"Maasstraat 58 1 hoog , 1078HL AMSTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";25-02-21;Zelfstandig;785,09;785,09;;;;;;;;;314,04;;;Huurder
76788;"Constantijn Huygensstraat";9;;;1521MG;WORMERVEER;"Constantijn Huygensstraat 9, 1521MG WORMERVEER";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";01-03-21;Zelfstandig;822,84;822,84;;;;;;;;;;;;Huurder
84347;"Kosterstraat ";13;;A;2042JJ;ZANDVOORT;"Kosterstraat 13 A, 2042JJ ZANDVOORT";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";01-03-21;Zelfstandig;743,75;743,75;;;;;;;;;;;;Huurder
41041;"Spijkerstraat ";184;;;6828DT;ARNHEM;"Spijkerstraat 184, 6828DT ARNHEM";"KM 2";"Afrekening servicekosten (art. 7:260 BW) (huurder)";"Servicekosten lager dan afrekening";"De wederpartij wordt in het gelijk gesteld";09-03-21;Onzelfstandig;;;;;1.140,00;431,70;1.045,00;1.736,24;;;;;;Huurder
110585;"Cort van der Lindenstraat";98;;;9402EB;ASSEN;"Cort van der Lindenstraat 98, 9402EB ASSEN";;"Klacht over een gedraging van de verhuurder (art. 4.5 UHW)";"Niet gegrond";"Niet van toepassing";09-03-21;Zelfstandig;;;;;;;;;;;;;;Huurder
83776;Harmoniumstraat;69;;;1312HL;ALMERE;"Harmoniumstraat 69, 1312HL ALMERE";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";09-03-21;Zelfstandig;707,99;707,99;;;;;;;;;;;;Huurder
45426;Zaaiersweg;9;;hs;1097SM;AMSTERDAM;"Zaaiersweg 9 hs, 1097SM AMSTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";05-03-21;Zelfstandig;635,07;;;;;;;;;;635,07;;;Huurder
110090;Krammerstraat;29;;2;1078KG;AMSTERDAM;"Krammerstraat 29 2, 1078KG AMSTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";25-02-21;Zelfstandig;724,50;289,80;;;;;;;;;289,80;;;Huurder
139919;Westlandgracht;113;;-1;1058TS;AMSTERDAM;"Westlandgracht 113 -1, 1058TS AMSTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";25-02-21;Zelfstandig;459,73;;;;;;;;;;183,89;;;Huurder
146288;"Christiaan de Wetstraat";142;;;3072VR;ROTTERDAM;"Christiaan de Wetstraat 142, 3072VR ROTTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";25-02-21;Zelfstandig;541,04;216,42;;;;;;;;;216,42;;;Huurder
106023;"Roer ";1;;;8032GE;ZWOLLE;"Roer 1, 8032GE ZWOLLE";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";05-03-21;Zelfstandig;702,97;;;;;;;;;;421,78;;;Huurder
49355;Rembrandlaan;100;;;3117VR;SCHIEDAM;"Rembrandlaan 100, 3117VR SCHIEDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";05-03-21;Zelfstandig;494,94;197,97;;;;;;;;;;;;Huurder
161436;"Houtmankade ";76;;3;1013NA;AMSTERDAM;"Houtmankade 76 3, 1013NA AMSTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";25-02-21;Zelfstandig;696,10;;;;;;;;;;278,44;;;Huurder
97118;Tentstraat;17;;A;6291BC;VAALS;"Tentstraat 17 A, 6291BC VAALS";;"Klacht over een gedraging van de verhuurder (art. 4.5 UHW)";Gegrond;"De verzoeker wordt in het gelijk gesteld";26-03-21;Zelfstandig;;;;;;;;;;;;;;Huurder
130416;"Eerste Jan Steenstraat";126;;1;1072NT;AMSTERDAM;"Eerste Jan Steenstraat 126 1, 1072NT AMSTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";25-02-21;Zelfstandig;717,22;286,89;;;;;;;;;286,89;;;Huurder
86647;Ohmstraat;113;;;2565SC;"DEN HAAG";"Ohmstraat 113, 2565SC DEN HAAG";;"Huurverlaging op grond van punten (art. 7:254 BW)";"Huurprijs is redelijk";"De verzoeker wordt in het gelijk gesteld";01-03-21;Zelfstandig;603,00;390,00;;;;;;;;;;;72;Huurder
69232;"Twijnderstraat ";34;;;5623AK;EINDHOVEN;"Twijnderstraat 34, 5623AK EINDHOVEN";;"Klacht over een gedraging van de verhuurder (art. 4.5 UHW)";"Niet gegrond";"De wederpartij wordt in het gelijk gesteld";25-03-21;Zelfstandig;;;;;;;;;;;;;;Huurder
159820;Bremstraat;23;;;1783JA;"DEN HELDER";"Bremstraat 23, 1783JA DEN HELDER";;"Klacht over een gedraging van de verhuurder (art. 4.5 UHW)";"Niet gegrond";"De wederpartij wordt in het gelijk gesteld";25-03-21;Zelfstandig;;;;;;;;;;;;;;Huurder
163747;"Admiralengracht ";43;;III;1057EM;AMSTERDAM;"Admiralengracht 43 III, 1057EM AMSTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";25-02-21;Zelfstandig;545,23;218,09;;;;;;;;;218,09;;;Huurder
96551;Berg;50;;;5508AW;VELDHOVEN;"Berg 50, 5508AW VELDHOVEN";;"Klacht over een gedraging van de verhuurder (art. 4.5 UHW)";"Niet gegrond";"De wederpartij wordt in het gelijk gesteld";19-03-21;Zelfstandig;;;;;;;;;;;;;;Huurder
212447;Schieringerweg;61;;B;8924CT;LEEUWARDEN;"Schieringerweg 61 B, 8924CT LEEUWARDEN";;"Afrekening servicekosten (art. 7:260 BW) (huurder)";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";24-02-21;Zelfstandig;;;;;1.000,00;200,59;;;;;;;;Huurder
209449;Lindengracht;300;;3;1015KN;AMSTERDAM;"Lindengracht 300 3, 1015KN AMSTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";25-02-21;Zelfstandig;493,51;197,40;;;;;;;;;197,40;;;Huurder
75172;Schieringerweg;61;;B;8924CT;LEEUWARDEN;"Schieringerweg 61 B, 8924CT LEEUWARDEN";;"Afrekening servicekosten (art. 7:260 BW) (huurder)";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";24-02-21;Zelfstandig;;;;;1.200,00;240,71;;;;;;;;Huurder
74899;Wijngaard;26;;;6017AG;THORN;"Wijngaard 26, 6017AG THORN";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";15-04-21;Zelfstandig;812,00;649,60;;;;;;;;;649,60;;;Huurder
113279;"Cornelis Krusemanstraat";64;;3;1075NS;AMSTERDAM;"Cornelis Krusemanstraat 64 3, 1075NS AMSTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";14-04-21;Zelfstandig;810,20;324,08;;;;;;;;;324,08;;;Huurder
65087;Groenestraat;198;;;6531HX;NIJMEGEN;"Groenestraat 198, 6531HX NIJMEGEN";"studio 2";"Huurverlaging op grond van punten (art. 7:254 BW)";"Huurprijs niet redelijk";"De verzoeker wordt in het gelijk gesteld";23-04-21;Onzelfstandig;413,87;347,47;;;;;;;;;;;167;Huurder
65085;Groenestraat;198;;;6531HX;NIJMEGEN;"Groenestraat 198, 6531HX NIJMEGEN";"studio 1";"Huurverlaging op grond van punten (art. 7:254 BW)";"Huurprijs niet redelijk";"De verzoeker wordt in het gelijk gesteld";23-04-21;Onzelfstandig;412,11;385,29;;;;;;;;;;;190;Huurder
113906;"Cornelis Krusemanstraat ";64;;2;1075NS;AMSTERDAM;"Cornelis Krusemanstraat 64 2, 1075NS AMSTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";14-04-21;Zelfstandig;684,60;273,84;;;;;;;;;273,84;;;Huurder
65109;Groenestraat;198;;;6531HX;NIJMEGEN;"Groenestraat 198, 6531HX NIJMEGEN";"kamer 8";"Huurverlaging op grond van punten (art. 7:254 BW)";"Huurprijs niet redelijk";"De verzoeker en wederpartij worden beide in het gelijk/ongelijk gesteld";23-04-21;Onzelfstandig;348,30;274,66;;;;;;;;;;;132;Huurder
65088;Groenestraat;198;;;6531HX;NIJMEGEN;"Groenestraat 198, 6531HX NIJMEGEN";"studio 3";"Huurverlaging op grond van punten (art. 7:254 BW)";"Huurprijs niet redelijk";"De verzoeker wordt in het gelijk gesteld";23-04-21;Onzelfstandig;459,56;414,36;;;;;;;;;;;217;Huurder
42582;Bredasestraat;36;;"Verdieping 1 voorzijde";4611CH;"BERGEN OP ZOOM";"Bredasestraat 36 Verdieping 1 voorzijde, 4611CH BERGEN OP ZOOM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";19-04-21;Zelfstandig;600,00;240,00;;;;;;;;;240,00;;;Huurder
