Zaaknummer;Straat;Huisnummer;Huisletter;Toevoeging;Postcode;Plaats;Adres;Kamer;Wetsartikel;"Inhoud uitspraak";"Leges uitspraak";"Datum afdoening";"Type woonruimte";"Huurprijs voor uitspraak";"Huurprijs na uitspraak";"Voorschot sk voor uitspraak";"Voorschot sk na uitspraak";"Bet.verpl. sk voor uitspraak";"Bet.verpl. sk na uitspraak";"Bet.verpl. sk voor uitspraak Bk2";"Bet.verpl. sk na uitspraak Bk2";"Bet.verpl. sk voor uitspraak Bk3";"Bet.verpl. sk na uitspraak Bk3";"Tijdelijk verlaagde huurprijs";;"Punten woonruimte";Verzoeker
39386;Esschilderstraat;10;;"zwart II";2012BD;HAARLEM;"Esschilderstraat 10 zwart II, 2012BD HAARLEM";;"Afrekening servicekosten (art. 7:260 BW) (huurder)";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";28-01-20;Zelfstandig;;;;;1.680,00;357,85;;;;;;;;Huurder
87643;"Van Bijnkershoeklaan";359;;;3527XJ;UTRECHT;"Van Bijnkershoeklaan 359, 3527XJ UTRECHT";KM2;"Toetsing aanvangshuurprijs (art. 7:249 BW)";"Geen ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";30-01-20;Onzelfstandig;400,00;97,39;;;;;;;;;;;46;Huurder
49019;"Binckhorstlaan ";131;;;2516BA;"DEN HAAG";"Binckhorstlaan 131, 2516BA DEN HAAG";;"Huurverlaging op grond van punten (art. 7:254 BW)";"Huurprijs niet redelijk";"De verzoeker en wederpartij worden beide in het gelijk/ongelijk gesteld";30-01-20;Zelfstandig;495,00;488,36;;;;;;;;;;;100;Huurder
34377;Emmastraat;20;;C;9722EX;GRONINGEN;"Emmastraat 20 C, 9722EX GRONINGEN";;"Afrekening servicekosten (art. 7:260 BW) (huurder)";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";30-01-20;Zelfstandig;;;;;1.267,57;848,69;;;;;;;;Huurder
26480;Spoorstraat;177;;;5911KH;VENLO;"Spoorstraat 177, 5911KH VENLO";;"Afrekening servicekosten (art. 7:260 BW) (huurder)";"Niet ontvankelijk";"De wederpartij wordt in het gelijk gesteld";30-01-20;Zelfstandig;;;;;;;;;;;;;;Huurder
81685;Elandstraat;52;;A1;2513GT;"DEN HAAG";"Elandstraat 52 A1, 2513GT DEN HAAG";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";27-01-20;Zelfstandig;;;;;;;;;;;;;;Huurder
52701;"Ter Gouwstraat ";2;;1-E;1093JZ;AMSTERDAM;"Ter Gouwstraat 2 1-E, 1093JZ AMSTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";24-01-20;Zelfstandig;587,55;352,53;;;;;;;;;;;;Huurder
31232;Emmastraat;20;;C;9722EX;GRONINGEN;"Emmastraat 20 C, 9722EX GRONINGEN";;"Afrekening servicekosten (art. 7:260 BW) (huurder)";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";24-01-20;Zelfstandig;;;;;1.500,00;434,45;;;;;;;;Huurder
31231;Emmastraat;20;;B;9722EX;GRONINGEN;"Emmastraat 20 B, 9722EX GRONINGEN";;"Afrekening servicekosten (art. 7:260 BW) (huurder)";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";24-01-20;Zelfstandig;;;;;937,50;218,98;;;;;;;;Huurder
67281;Noordendijk;432;;;3319GM;DORDRECHT;"Noordendijk 432, 3319GM DORDRECHT";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";28-01-20;Zelfstandig;795,00;174,90;;;;;;;;;;;;Huurder
65959;Soembastraat;57;;;2315BS;LEIDEN;"Soembastraat 57, 2315BS LEIDEN";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";27-01-20;Zelfstandig;;;;;;;;;;;;;;Huurder
62552;"Oranjestraat ";56;;;4532BV;TERNEUZEN;"Oranjestraat 56, 4532BV TERNEUZEN";;"UHW Geschillen (art. 4.5)";"Niet gegrond";"De wederpartij wordt in het gelijk gesteld";27-01-20;Zelfstandig;;;;;;;;;;;;;;Huurder
56044;Stadspolderstraat;21;;;2807MT;GOUDA;"Stadspolderstraat 21, 2807MT GOUDA";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";27-01-20;Zelfstandig;;;;;;;;;;;;;;Huurder
53346;Ledelplein;18;;303;4501BN;OOSBURG;"Ledelplein 18 303, 4501BN OOSBURG";;"UHW Geschillen (art. 4.5)";Gegrond;"De verzoeker wordt in het gelijk gesteld";27-01-20;Zelfstandig;;;;;;;;;;;;;;Huurder
53269;"Van Meursstraat";8;;;2524XP;"DEN HAAG";"Van Meursstraat 8, 2524XP DEN HAAG";;"Melding herstel van gebreken (art. 4.3 UHW)";"Gebreken geheel verholpen";"Niet van toepassing";27-01-20;Zelfstandig;87,23;436,17;;;;;;;;;;;;Verhuurder
53143;Ledelplein;18;;-208;4501BN;OOSTBURG;"Ledelplein 18 -208, 4501BN OOSTBURG";;"UHW Geschillen (art. 4.5)";Gegrond;"De verzoeker wordt in het gelijk gesteld";27-01-20;Zelfstandig;;;;;;;;;;;;;;Huurder
30463;"Professor Rankestraat";40;;;9713GG;GRONINGEN;"Professor Rankestraat 40, 9713GG GRONINGEN";2;"Afrekening servicekosten (art. 7:260 BW) (huurder)";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";20-01-20;Onzelfstandig;;;;;1.740,00;795,98;;;;;;;;Huurder
29330;Rabenhauptstraat;54;;;9725CG;GRONINGEN;"Rabenhauptstraat 54, 9725CG GRONINGEN";2;"Afrekening servicekosten (art. 7:260 BW) (huurder)";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";21-01-20;Onzelfstandig;;;;;390,00;295,74;780,00;602,28;;;;;;Huurder
68221;Rozengracht;113;;;1016LV;AMSTERDAM;"Rozengracht 113, 1016LV AMSTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";23-01-20;Zelfstandig;624,06;;;;;;;;;;;;;Huurder
62561;"Da Costastraat";94;;A-1;1053ZS;AMSTERDAM;"Da Costastraat 94 A-1, 1053ZS AMSTERDAM";;"Afrekening servicekosten (art. 7:260 BW) (huurder)";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";23-01-20;Zelfstandig;;;;;250,68;150,89;250,68;90,89;;;;;;Huurder
62217;"Grote Wittenburgerstraat";15;;D;1018KV;AMSTERDAM;"Grote Wittenburgerstraat 15 D, 1018KV AMSTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";23-01-20;Zelfstandig;619,98;619,98;;;;;;;;;;;;Huurder
61765;"Burgemeester Hogguerstraat";1017;;;1064EG;AMSTERDAM;"Burgemeester Hogguerstraat 1017, 1064EG AMSTERDAM";;"Toetsing aanvangshuurprijs (art. 7:249 BW)";"Geen inhoudelijke uitspraak";"De wederpartij wordt in het gelijk gesteld";23-01-20;Onzelfstandig;455,00;455,00;;;;;;;;;;;;Huurder
61289;"Jasper Leijnsenstraat";28;;;1056XZ;AMSTERDAM;"Jasper Leijnsenstraat 28, 1056XZ AMSTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";23-01-20;Zelfstandig;377,55;377,55;;;;;;;;;;;;Huurder
60854;Hoofdweg;3;;C;1058AV;AMSTERDAM;"Hoofdweg 3 C, 1058AV AMSTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";23-01-20;Zelfstandig;600,68;600,68;;;;;;;;;;;;Huurder
58033;Houtmankade;91;;;1013MT;AMSTERDAM;"Houtmankade 91, 1013MT AMSTERDAM";;"Afrekening servicekosten (art. 7:260 BW) (huurder)";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";23-01-20;Zelfstandig;;;;;3.420,00;543,45;;;;;;;;Huurder
53321;"Bos en Lommerweg ";198;;1;1055EH;"AMSTERDAM ";"Bos en Lommerweg 198 1, 1055EH AMSTERDAM ";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";24-01-20;Zelfstandig;654,33;588,90;;;;;;;;;;;;Huurder
53313;"Meervlietstraat ";1;;;1566TL;ASSENDELFT;"Meervlietstraat 1, 1566TL ASSENDELFT";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";23-01-20;Zelfstandig;597,30;597,30;;;;;;;;;;;;Huurder
81254;"Waldeck Pyrmontstraat";22;;;2316PD;LEIDEN;"Waldeck Pyrmontstraat 22, 2316PD LEIDEN";;"Huurverlaging op grond van punten (art. 7:254 BW)";"Er is een all in prijs";"De verzoeker en wederpartij worden beide in het gelijk/ongelijk gesteld";27-01-20;Onzelfstandig;541,00;297,55;;;;;;;;;;;149;Huurder
70433;"Van Barbansonstraat ";54;;;2274SP;VOORBURG;"Van Barbansonstraat 54, 2274SP VOORBURG";;"Toetsing aanvangshuurprijs (art. 7:249 BW)";"Huurprijs niet redelijk";"De verzoeker wordt in het gelijk gesteld";27-01-20;Zelfstandig;1.150,00;667,12;;;;;;;;;;;134;Huurder
67713;Sweelinckstraat;84;;;3131SR;VLAARDINGEN;"Sweelinckstraat 84, 3131SR VLAARDINGEN";;"Toetsing aanvangshuurprijs (art. 7:249 BW)";"Huurprijs niet redelijk";"De verzoeker wordt in het gelijk gesteld";27-01-20;Zelfstandig;775,00;551,45;;;;;;;;;;;112;Huurder
81617;Oranjestraat;6;;;6942BD;DIDAM;"Oranjestraat 6, 6942BD DIDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";06-04-20;Zelfstandig;714,70;142,94;;;;;;;;;;;;Huurder
83032;Frederikstraat;405;;;2514LG;"DEN HAAG";"Frederikstraat 405, 2514LG DEN HAAG";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";08-04-20;Zelfstandig;;;;;;;;;;;;;;Huurder
82995;Mariënburgstraat;6;;;6811CS;ARNHEM;"Mariënburgstraat 6, 6811CS ARNHEM";"2e ET";"Toetsing aanvangshuurprijs (art. 7:249 BW)";"Geen ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";06-04-20;Onzelfstandig;480,00;370,38;;;;;;;;;;;178;Huurder
85984;Velpsestraat;237;;;2573SL;"DEN HAAG";"Velpsestraat 237, 2573SL DEN HAAG";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";08-04-20;Zelfstandig;531,55;531,55;;;;;;;;;;;;Huurder
86454;Zonegge;620;;;6903EN;ZEVENAAR;"Zonegge 620, 6903EN ZEVENAAR";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";06-04-20;Zelfstandig;524,76;314,86;;;;;;;;;;;;Huurder
87568;"Francois Valentijnstraat";170;;;2595WE;"DEN HAAG";"Francois Valentijnstraat 170, 2595WE DEN HAAG";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";08-04-20;Zelfstandig;769,98;307,99;;;;;;;;;;;;Huurder
23858;"Dr. C. Hofstede de Grootkade";11;;;9718KA;GRONINGEN;"Dr. C. Hofstede de Grootkade 11, 9718KA GRONINGEN";;"Afrekening servicekosten (art. 7:260 BW) (huurder)";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";06-04-20;Zelfstandig;;;;;2.835,00;1.685,97;;;;;;;;Huurder
44452;Boylestraat;29;;B;3112XB;SCHIEDAM;"Boylestraat 29 B, 3112XB SCHIEDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";22-01-20;Zelfstandig;600,00;360,00;;;;;;;;;;;;Huurder
44449;"Boylestraat ";29;;B;3112XB;SCHIEDAM;"Boylestraat 29 B, 3112XB SCHIEDAM";;"Huurverlaging op grond van punten (art. 7:254 BW)";"Huurprijs niet redelijk";"De verzoeker en wederpartij worden beide in het gelijk/ongelijk gesteld";22-01-20;Zelfstandig;600,00;456,80;;;;;;;;;;;94;Huurder
45577;"Van der Meydestraat";28;;A;3039TJ;ROTTERDAM;"Van der Meydestraat 28 A, 3039TJ ROTTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";22-01-20;Zelfstandig;435,00;435,00;;;;;;;;;;;;Huurder
58266;Harstenhoekstraat;55;;C;2587RE;"DEN HAAG";"Harstenhoekstraat 55 C, 2587RE DEN HAAG";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Gebreken geheel verholpen";"De verzoeker wordt in het gelijk gesteld";20-01-20;Zelfstandig;356,56;285,25;;;;;;;;;;;;Huurder
50348;Leeuwenlaan;48;;C;1243KB;'S-GRAVELAND;"Leeuwenlaan 48 C, 1243KB 'S-GRAVELAND";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";21-01-20;Zelfstandig;612,60;245,04;;;;;;;;;;;;Huurder
60321;Graafschapstraat;3;;H;1079PD;AMSTERDAM;"Graafschapstraat 3 H, 1079PD AMSTERDAM";"LKS AZ";"Toetsing aanvangshuurprijs (art. 7:249 BW)";"Niet ontvankelijk";"De wederpartij wordt in het gelijk gesteld";22-01-20;Onzelfstandig;900,00;900,00;;;;;;;;;;;;Huurder
60425;Graafschapstraat;3;;H;1079PD;AMSTERDAM;"Graafschapstraat 3 H, 1079PD AMSTERDAM";"voorzijde woning";"Toetsing aanvangshuurprijs (art. 7:249 BW)";"Geen inhoudelijke uitspraak";"De wederpartij wordt in het gelijk gesteld";22-01-20;Onzelfstandig;2.600,00;2.600,00;;;;;;;;;;;;Huurder
26957;"Oude Torenstraat";59;;"HS AT";5623PG;EINDHOVEN;"Oude Torenstraat 59 HS AT, 5623PG EINDHOVEN";;"Afrekening servicekosten (art. 7:260 BW) (huurder)";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";30-03-20;Zelfstandig;;;;;668,00;282,19;;;;;;;;Huurder
26961;"Oude Torenstraat";51;;;5623PG;EINDHOVEN;"Oude Torenstraat 51, 5623PG EINDHOVEN";;"Afrekening servicekosten (art. 7:260 BW) (huurder)";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";30-03-20;Zelfstandig;;;;;2.412,00;795,72;;;;;;;;Huurder
73300;"Brechtje Spiegelerf";8;;;3813NL;AMERSFOORT;"Brechtje Spiegelerf 8, 3813NL AMERSFOORT";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";24-03-20;Zelfstandig;598,96;239,58;;;;;;;;;;;;Huurder
43217;Tweespan;27;;;3161sk;RHOON;"Tweespan 27, 3161sk RHOON";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";11-03-20;Zelfstandig;535,73;535,73;;;;;;;;;;;;Huurder
56010;Rijnzichtlaan;30;;;3981BT;BUNNIK;"Rijnzichtlaan 30, 3981BT BUNNIK";5;"Splitsen all-in huurprijs (art. 7:258 BW)";"Er is een all in prijs";"De verzoeker wordt in het gelijk gesteld";06-02-20;Onzelfstandig;290,00;159,50;;;;72,50;;;;;;;;Huurder
26963;"Oude Torenstraat";37;;;5623PG;EINDHOVEN;"Oude Torenstraat 37, 5623PG EINDHOVEN";;"Afrekening servicekosten (art. 7:260 BW) (huurder)";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";30-03-20;Zelfstandig;;;;;2.352,00;744,03;;;;;;;;Huurder
60595;"Agnes van Kleefstraat";33;;;5688AT;OIRSCHOT;"Agnes van Kleefstraat 33, 5688AT OIRSCHOT";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";24-03-20;Zelfstandig;;;;;;;;;;;;;;Huurder
59840;Nobelstraat;253;;"bis 1e";3512EM;UTRECHT;"Nobelstraat 253 bis 1e, 3512EM UTRECHT";;"Huurverlaging op grond van punten (art. 7:254 BW)";"Niet ontvankelijk";"De wederpartij wordt in het gelijk gesteld";24-03-20;Onzelfstandig;350,00;350,00;;;;;;;;;;;80;Huurder
59838;Nobelstraat;253;;"bis 3e";3512EM;UTRECHT;"Nobelstraat 253 bis 3e, 3512EM UTRECHT";;"Huurverlaging op grond van punten (art. 7:254 BW)";"Huurprijs niet redelijk";"De verzoeker wordt in het gelijk gesteld";24-03-20;Onzelfstandig;385,00;154,01;;;;;;;;;;;74;Huurder
74053;Hoofdstraat;33;;;4533PB;TERNEUZEN;"Hoofdstraat 33, 4533PB TERNEUZEN";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";20-03-20;Zelfstandig;285,00;285,00;;;;;;;;;;;;Huurder
48010;Essenburgstraat;89;;C;3022ME;ROTTERDAM;"Essenburgstraat 89 C, 3022ME ROTTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";11-03-20;Zelfstandig;566,11;566,11;;;;;;;;;;;;Huurder
50038;"Willem Buytewechstraat";131;;;3024XD;ROTTERDAM;"Willem Buytewechstraat 131, 3024XD ROTTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";11-03-20;Zelfstandig;503,48;201,39;;;;;;;;;;;;Huurder
49042;Nijenrodeweg;86;;;3077es;ROTTERDAM;"Nijenrodeweg 86, 3077es ROTTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";11-03-20;Zelfstandig;560,36;560,36;;;;;;;;;;;;Huurder
58230;Parkweg;98;;L;6511BK;NIJMEGEN;"Parkweg 98 L, 6511BK NIJMEGEN";;"Toetsing aanvangshuurprijs (art. 7:249 BW)";"Geen inhoudelijke uitspraak";"De wederpartij wordt in het gelijk gesteld";18-03-20;Zelfstandig;795,00;795,00;;;;;;;;;;;147;Huurder
27466;Bomansplaats;71;;;5611NT;EINDHOVEN;"Bomansplaats 71, 5611NT EINDHOVEN";;"Afrekening servicekosten (art. 7:260 BW) (huurder)";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";19-03-20;Zelfstandig;;;;;2.520,00;1.507,02;;;;;;;;Huurder
68035;"1e Daalsedijk";236;;BIS;3513TK;UTRECHT;"1e Daalsedijk 236 BIS, 3513TK UTRECHT";;"Huurverlaging op grond van punten (art. 7:254 BW)";"Huurprijs niet redelijk";"De verzoeker wordt in het gelijk gesteld";24-03-20;Zelfstandig;600,00;268,30;;;;;;;;;;;56;Huurder
60995;Paradijsstraatje;208;;;6001CZ;WEERT;"Paradijsstraatje 208, 6001CZ WEERT";;"UHW Geschillen (art. 4.5)";"Deels gegrond";"De verzoeker en wederpartij worden beide in het gelijk/ongelijk gesteld";24-03-20;Zelfstandig;;;;;;;;;;;;;;Huurder
60978;Graafseweg;36;;;5213AL;"DEN BOSCH";"Graafseweg 36, 5213AL DEN BOSCH";H;"Huurverlaging op grond van punten (art. 7:254 BW)";"Huurprijs niet redelijk";"De verzoeker wordt in het gelijk gesteld";23-03-20;Onzelfstandig;475,00;261,25;;;;;;;;;;;125;Huurder
31107;Putterlaan;151;;;3722WR;BILTHOVEN;"Putterlaan 151, 3722WR BILTHOVEN";;"Afrekening servicekosten (art. 7:260 BW) (huurder)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";28-02-20;Zelfstandig;;;;;1.404,96;278,61;;;;;;;;Huurder
